HolderAddress,Balance,PendingBalanceUpdate
0x0316c605d7100c5cc7957897470da34e9c492e3e,100,No
0x03184bd36c8c13eec14ebfcd1487316e753fc5f2,0.003000306,No
0x031a0a8b2fbdf92666ababb43cf83c7b00a1d194,700.8080305,No
0x031c163a1ccae0b425adf9a1aab854ee0689f46b,1288.4,No
0x032258eb315428632d3ebed33d4f6990a30bcef3,500,No
0x032678b036e484962a0628af3764a5a3e69abd58,1.00E-07,No
0x03267b1c88fd149b59341df568f19e0b20482ba2,36138.36718,No
0x0328314a7e07cbe241e7faf717f8d29237f9e2f8,100,No
0x032c324862480c46999beacd89758538afa89333,1.00E-07,No
0x032d367da902946444b1ce3a7f0f3fafd8b4eaca,100,No
0x0331ff6139a1b6744f4d5c42a907714b24c05c75,100,No
0x033403a9ec3859c4b9ebcbfba892ade8ef7afabc,100,No
0x0334a4cc5f616e3bfa7345b8639b502b20e6d679,2010,No
0x03396cb039a55c1cef7755387ba948115446b261,5945,No
0x0339ce984bc368a682d684f74b52c31594c78198,100,No
0x033aa31ffd2cea5c7961b434dc9f5ef48457dccb,200,No
0x033d17f830709149717845cf1cda1ffb206eb186,1163.369,No
0x03417f19143629779ec7c174964e1c24ab786aa2,10,No
0x0341a88aec70fac21aee59b7a3174237f695e4e5,1.00E-18,No
0x034343d4585cf8cea9d291c4baf2351ddd16b93e,2353.48552,No
0x034483b88caf2396cd7203aff929873eb446f8e5,1.00E-07,No
0x0344ac225cca6564f230d8482b497fc7eab7ac0b,100,No
0x03452285bcf6b9af103b25c7d55af0a37aae4270,1.68E-09,No
0x03452ab0ef1359f7ce90b2e4bfb326f683fcc160,10,No
0x0346e05b3813db8d22ed921ac001f235b86e48b3,2.15E-05,No
0x034b732cdc0f17f93f68471111284590e36f9e41,0.000480863,No
0x034fb924f186cf693c504317d197956ceeb8a7e0,1813.51,No
0x03523f41c4f4a33c33af114a434c8690cd3c9e84,100,No
0x035392de57aa4fe343d86494103dbe1b068a56c6,1,No
0x0353cd8e089e8e01d3df0fb42773f51d23f2806a,100,No
